Spectrum,Weighted_Mean_Age,Bootstrap_Uncertainty
sn1998aq-19980727.17-fast_snid,77.18,2.20
sn2006hb-20060929.51-fast_snid,1.68,0.19
sn2000E-20000531.40-fast_snid,101.02,4.98
sn1999cb-19990514.38-fast_snid,43.09,0.88
sn2005bc-20050404.46-fast_snid,-1.82,0.17
sn2000ey-20001201.12-fast_snid,3.21,1.12
sn2001V-20010501.36-fast_snid,35.99,0.78
sn2007cj-20070521.05-ldss3_snid,29.45,0.45
sn2005hk-20051106.22-fast_snid,-4.14,0.62
sn2005cn-20050628.21-fast_snid,-1.32,0.17
sn1996bo-19961105.24-fast_snid,4.93,0.23
sn2006gr-20060923.22-fast_snid,-5.13,0.24
sn2007ca-20070518.32-fast_snid,9.58,0.48
sn2007hj-20070908.30-fast_snid,-0.01,0.17
sn2003fa-20030628.23-fast_snid,13.86,1.28
sn2008bf-20080403.30-fast_snid,-0.71,0.16
sn2002hu-20021108.41-fast_snid,-2.00,0.14
sn2008C-20080109.29-fast_snid,8.43,0.48
sn2003kh-20031130.10-fast_snid,3.18,0.15
sn2002cx-20020602.20-fast_snid,32.59,0.57
